Jaar;Zorgsoort;Subgroep;Kosten;Mensen;Males;Females;Kostpp;;;;
2019;Subsidieregeling Wlz;Subsidieregeling extramurale behandeling;71.783.561;34449;14455;19994;2084;;;;
2019;Extramurale farmacie;P - ANTIPARASITICA, INSECTICIDEN EN INSECTENWERENDE MIDDELEN;9.345.357;237284;70367;166916;39;;;;
2019;Wlz instelling;ZG;236.741.801;2244;1173;1071;105500;;;;
2019;MSZ - overige zorgproducten;Intensive Care;1.012.156.512;86820;51380;35440;11658;;;;
2019;Extramurale farmacie;Y - NIET INGEVULD;104.611.978;196660;87741;108919;532;;;;
2019;MSZ - DBC zorgproducten;overig, niet toewijsbaar;696.331.270;613638;264864;348773;1135;;;;
2019;Hulpmiddelen;Visuele hulpmiddelen;31.610.620;1202333;488000;714332;26;;;;
2019;Wlz thuiswonend;GGZ;110.465;1;1;0;110465;;;;
2019;Wlz instelling;LVG;114.587.120;1465;763;702;78216;;;;
2019;Geestelijke gezondheidszorg;Gespecialiseerde GGZ ambulant (zonder verblijf);1.144.984.175;336914;145286;191627;3398;;;;
2019;MSZ - overige zorgproducten;OZP Overige verrichtingen en trajecten;617.116.470;971732;456038;515694;635;;;;
2019;Extramurale farmacie;H - SYSTEMISCHE HORMOONPREPARATEN, EXCL GESLACHTSHORMONEN;165.127.365;1394747;490587;904160;118;;;;
2019;Extramurale farmacie;L - ONCOLYTICA EN IMMUNOMODULANTIA;357.731.229;331573;135988;195585;1079;;;;
2019;Overige eerstelijnszorg;Mondzorg;793.834.691;3077773;1561872;1515895;258;;;;
2019;Extramurale farmacie;G - UROGENITALE STELSEL EN GESLACHTSHORMONEN;112.326.578;1849773;396925;1452847;61;;;;
2019;Extramurale farmacie;J - ANTIMICROBIELE MIDDELEN VOOR SYSTEMISCH GEBRUIK;474.559.056;3685524;1492030;2193490;129;;;;
2019;MSZ - DBC zorgproducten;Urogenitaal systeem;1.267.682.910;676486;241286;435200;1874;;;;
2019;Extramurale farmacie;D - DERMATOLOGICA;169.233.330;3436260;1529877;1906381;49;;;;
2019;Extramurale farmacie;S - ZINTUIGLIJKE ORGANEN;149.249.549;2164918;940287;1224629;69;;;;
2019;Wlz thuiswonend;VG;2.005.801.615;41205;23763;17442;48679;;;;
2019;Extramurale farmacie;B - BLOED EN BLOEDVORMENDE ORGANEN;493.766.573;2309240;1129156;1180084;214;;;;
2019;Wlz instelling;Functies;37.435.497;28772;10543;18229;1301;;;;
2019;Overig;Grensoverschrijdende zorg;251.813.999;259029;123082;135946;972;;;;
2019;Extramurale farmacie;C - HARTVAATSTELSEL;737.964.680;3802090;1856034;1946056;194;;;;
2019;Multidisciplinaire zorg vanuit eerstelijn;Resultaatbeloning en zorgvernieuwing;85.965.441;3444588;1681055;1763530;25;;;;
2019;MSZ - DBC zorgproducten;Endocriene, voedings en stofwisselingsziekten;553.298.163;474352;202951;271401;1166;;;;
2019;Extramurale farmacie;A - MAAGDARMKANAAL EN METABOLISME;791.531.795;4391554;1879178;2512374;180;;;;
2019;Extramurale farmacie;M - SKELETSPIERSTELSEL;122.973.051;2564771;1134876;1429894;48;;;;
2019;Hulpmiddelen;Inrichtingselementen van woningen;108.277.050;370739;113209;257530;292;;;;
2019;Hulpmiddelen;Hulpmiddelen voor anticonceptionele doeleinden;80.949;11718;8;11710;7;;;;
2019;MSZ - overige zorgproducten;OZP Paramedische behandeling en onderzoek;35.742.513;363405;157012;206392;98;;;;
2019;Huisartsenzorg;Huisartsenzorg_onbekend;1.356.262;53302;25757;27545;25;;;;
2019;Hulpmiddelen;Auditieve hulpmiddelen;146.614.014;153285;79168;74117;956;;;;
2019;Wijkverpleging;PGB;333.208.934;20622;9139;11483;16158;;;;
2019;Overig;Ziekenvervoer;733.912.478;655025;321339;333686;1120;;;;
2019;Multidisciplinaire zorg vanuit eerstelijn;Innovatie;26.036.993;52260;19713;32547;498;;;;
2019;Hulpmiddelen;Hulpmiddelen voor het toedienen van voeding;18.394.344;21457;10249;11208;857;;;;
2019;Hulpmiddelen;Verzorgingsmiddelen;406.514.677;730405;279684;450720;557;;;;
2019;Hulpmiddelen;Hulpmiddelen in verband met behandeling;61.232.603;414969;193264;221705;148;;;;
2019;Hulpmiddelen;Orthesen en schoenvoorzieningen;196.091.386;190428;78979;111449;1030;;;;
2019;Hulpmiddelen;Zelfmeetapparatuur voor bloedstollingstijden;382.973;883;427;456;434;;;;
2019;Wlz overig;Wlz overig;5.656.100;982;349;633;5760;;;;
2019;Hulpmiddelen;Prothesen;77.174.468;75410;12873;62537;1023;;;;
2019;MSZ - DBC zorgproducten;ziekten van bloed en bloedvormende organen;134.206.447;89530;39478;50052;1499;;;;
2019;Extramurale farmacie;N - ZENUWSTELSEL;606.482.129;2932770;1203256;1729512;207;;;;
2019;Extramurale farmacie;R - ADEMHALINGSSTELSEL;605.847.225;3676489;1600581;2075904;165;;;;
2019;MSZ - DBC zorgproducten;Bewegingsapparaat;2.158.959.135;1383380;576273;807107;1561;;;;
2019;Wlz thuiswonend;SGLVG;2.406.814;236;121;115;10198;;;;
2019;MSZ - dure geneesmiddelen;Dure geneesmiddelen;2.325.143.499;293328;126481;166847;7927;;;;
2019;MSZ - overige zorgproducten;Eerstelijnsdiagnostiek;806.107.107;7261074;3061689;4199382;111;;;;
2019;Wijkverpleging;Onbekend;55.070.046;14539;5624;8915;3788;;;;
2019;MSZ - DBC zorgproducten;Hartvaatstelsel;3.521.490.554;1345810;706503;639307;2617;;;;
2019;Extramurale farmacie;Onbekend;137.834.937;2062119;684795;1377323;67;;;;
2019;MSZ - DBC zorgproducten;Onbekend;28.266.307;25435;11116;14319;1111;;;;
2019;Huisartsenzorg;Resultaatbeloning en zorgvernieuwing;223.260.908;16674002;8244753;8429239;13;;;;
2019;Huisartsenzorg;Praktijkondersteuning somatiek;71.040.681;10251680;5062618;5189057;7;;;;
2019;Wlz thuiswonend;ZG;53.091.581;1229;664;565;43199;;;;
2019;Wlz instelling;VG;6.194.746.358;72269;41307;30962;85718;;;;
2019;Wlz thuiswonend;Wlz-indiceerbaar;11.311.651;277;125;152;40836;;;;
2019;Wlz instelling;VenV;10.646.857.448;178295;57795;120500;59715;;;;
2019;MSZ - dure geneesmiddelen;Stollingsfactoren;114.197.909;8819;5599;3220;12949;;;;
2019;Hulpmiddelen;Hulpmiddelen voor thuisdialyse;1.492.390;975;627;348;1531;;;;
2019;MSZ - overige zorgproducten;Onbekend;102.925.124;36166;15832;20333;2846;;;;
2019;Overige eerstelijnszorg;Fysiotherapie;516.256.252;842151;385386;456765;613;;;;
2019;Hulpmiddelen;Hulpmiddelen geen verstrekking Zvw;3.846.707;124352;49821;74531;31;;;;
2019;Hulpmiddelen;Hulpmiddelen niet gespecificeerd;398.412;77;39;38;5174;;;;
2019;Extramurale farmacie;V - DIVERSE MIDDELEN;38.125.118;40940;22290;18650;931;;;;
2019;MSZ - DBC zorgproducten;Ademhalingswegen;1.178.121.324;894117;443100;451014;1318;;;;
2019;Geestelijke gezondheidszorg;GGZ overig;12.599.625;36197;17841;18356;348;;;;
2019;MSZ - DBC zorgproducten;letsel;1.537.063.551;781648;392076;389572;1966;;;;
2019;Geestelijke gezondheidszorg;Langdurige GGZ;152.445.594;2515;1396;1119;60615;;;;
2019;Hulpmiddelen;Transportondersteuners van bloed en lymfe;76.522.967;377849;136350;241499;203;;;;
2019;Wijkverpleging;ZIN;3.138.492.963;570600;224433;346167;5500;;;;
2019;Geestelijke gezondheidszorg;Basis GGZ;188.978.634;194242;69606;124636;973;;;;
2019;Hulpmiddelen;Hulpmiddelen bij ademhalingsproblemen;136.201.561;787062;399751;387310;173;;;;
2019;MSZ - overige zorgproducten;Add-ons overig;25.964.569;5465;568;4897;4751;;;;
2019;Wlz instelling;LG;662.026.099;8066;4555;3511;82076;;;;
2019;Wlz instelling;GGZ;484.542.763;5078;3016;2062;95420;;;;
2019;Wlz thuiswonend;Functies;635.812.813;66474;26354;40120;9565;;;;
2019;MSZ - DBC zorgproducten;infectieziekten;196.167.761;154027;85538;68489;1274;;;;
2019;Multidisciplinaire zorg vanuit eerstelijn;Multidisciplinaire zorg;511.998.648;7406625;3657174;3749444;69;;;;
2019;Overige eerstelijnszorg;Eerstelijnsverblijf;280.270.071;36846;12941;23905;7607;;;;
2019;Wlz thuiswonend;LVG;5.428.850;370;212;158;14673;;;;

