Jaar;Zorgsoort;Subgroep;Kosten;Mensen
2018;Extramurale farmacie;C - HARTVAATSTELSEL;713.199.391,41;3782574
2018;Extramurale farmacie;Onbekend;97.763.483,57;1551704
2019;Wijkverpleging;ZIN;3.139.604.345,82;570601
2018;Wlz thuiswonend;LVG;7.186.166,05;464
2019;Hulpmiddelen;Prothesen;77.175.190,11;75411
2019;MSZ - DBC zorgproducten;Huid en subcutis;254.402.236,43;488297
2019;Hulpmiddelen;Verzorgingsmiddelen;406.523.508,37;730407
2018;Hulpmiddelen;Hulpmiddelen voor thuisdialyse;1.358.989,70;1051
2019;Extramurale farmacie;G - UROGENITALE STELSEL EN GESLACHTSHORMONEN;112.340.559,64;1849775
2018;Subsidieregeling Wlz;Subsidieregeling extramurale behandeling;64.271.948,43;31178
2019;Overig;Zorg zintuiglijk gehandicapten;166.402.697,52;34180
2018;MSZ - DBC zorgproducten;Urogenitaal systeem;1.252.306.845,66;669969
2018;Wijkverpleging;PGB;348.883.189,45;20638
2019;MSZ - DBC zorgproducten;overig, niet toewijsbaar;696.377.923,02;613640
2018;MSZ - overige zorgproducten;Onbekend;74.382.394,88;14941
2019;MSZ - DBC zorgproducten;nieuwvormingen;3.776.039.314,08;1545427
2019;Huisartsenzorg;Huisartsenzorg;2.722.300.769,75;16985662
2018;Wlz thuiswonend;GGZ;106.595,91;1
2018;MSZ - overige zorgproducten;Eerstelijnsdiagnostiek;788.209.887,68;7125925
2019;Multidisciplinaire zorg vanuit eerstelijn;Innovatie;26.037.151,39;52261
2019;MSZ - DBC zorgproducten;Zenuwstelsel en zintuigen;1.814.086.589,95;1973987
2019;Geboortezorg;Geboortezorg;575.701.974,38;288265
2018;Hulpmiddelen;Transportondersteuners van bloed en lymfe;73.181.807,46;382985
2018;Geestelijke gezondheidszorg;GGZ overig;7.126.945,40;39234
2018;MSZ - DBC zorgproducten;Ademhalingswegen;1.169.264.556,49;884922
2018;MSZ - DBC zorgproducten;kinderwens, zwangerschap, bevalling en postnatale zorg;1.108.209.954,65;505192
2018;Wlz thuiswonend;Functies;515.405.292,58;54776
2019;Subsidieregeling Wlz;Subsidieregeling extramurale behandeling;71.810.513,55;34466
2018;Hulpmiddelen;Hulpmiddelen bij ademhalingsproblemen;132.541.509,40;744197
2019;Wlz instelling;VenV;10.652.260.199,33;178383
2019;Geestelijke gezondheidszorg;Basis GGZ;188.987.192,11;194243
2019;Wlz instelling;Functies;37.443.076,68;28779
2018;Hulpmiddelen;Zelfmeetapparatuur voor bloedstollingstijden;269.540,71;693
2018;Extramurale farmacie;N - ZENUWSTELSEL;614.657.639,94;3041870
2018;MSZ - overige zorgproducten;Add-ons overig;24.178.096,04;5159
2018;MSZ - DBC zorgproducten;Psychische stoornissen;208.712.629;157971
2019;Extramurale farmacie;N - ZENUWSTELSEL;606.500.219,23;2932773
2019;Wlz thuiswonend;VenV;1.161.859.045,58;46236
2018;Wlz thuiswonend;Functies en klassen;752.753,59;29
2019;Geestelijke gezondheidszorg;Langdurige GGZ;152.445.593,91;2515
2018;Hulpmiddelen;Prothesen;74.705.465,53;76673
2019;MSZ - DBC zorgproducten;Psychische stoornissen;212.940.656,62;159278
2019;Wlz thuiswonend;GGZ;110.465,34;1
2018;Wlz instelling;VG;5.774.694.852,83;71822
2019;Extramurale farmacie;L - ONCOLYTICA EN IMMUNOMODULANTIA;357.753.160,17;331574
2018;Hulpmiddelen;Hulpmiddelen voor anticonceptionele doeleinden;63.982,57;9496
2018;Overige eerstelijnszorg;Mondzorg;756.772.340,09;3088479
2019;Hulpmiddelen;Hulpmiddelen niet gespecificeerd;398.412,46;77
2018;MSZ - DBC zorgproducten;nieuwvormingen;3.653.619.689,06;1509757
2018;Hulpmiddelen;Visuele hulpmiddelen;29.426.235,82;1100264
2018;Wlz thuiswonend;LG;351.858.299,51;6910
2018;MSZ - DBC zorgproducten;Zenuwstelsel en zintuigen;1.776.116.225,38;1956580
2018;Extramurale farmacie;Z - NIET VAN TOEPASSING;1.772.504,29;24701
2019;Extramurale farmacie;M - SKELETSPIERSTELSEL;122.979.501,92;2564776
2019;Extramurale farmacie;Onbekend;137.840.493,29;2062124
2018;Wlz thuiswonend;Wlz-indiceerbaar;2.284.724,98;54
2018;Wlz instelling;ZG;221.733.946,01;2286
2019;Hulpmiddelen;Diabeteshulpmiddelen;144.686.150,24;264564
2018;MSZ - DBC zorgproducten;overig, niet toewijsbaar;686.625.564,02;607889
2019;Overige eerstelijnszorg;Fysiotherapie;516.275.379,31;842156
2018;Wlz instelling;SGLVG;30.764.346,68;375
2018;Wlz thuiswonend;SGLVG;1.895.581,21;285
2019;MSZ - overige zorgproducten;OZP Overige verrichtingen en trajecten;617.206.744,38;971734
2019;Hulpmiddelen;Hulpmiddelen voor het toedienen van voeding;18.394.992,20;21458
2018;Geestelijke gezondheidszorg;Basis GGZ;225.642.437,48;230653
2019;Overig;Ziekenvervoer;733.968.982,41;655026
2019;Wlz thuiswonend;ZG;53.094.523,30;1230
2018;MSZ - dure geneesmiddelen;Dure geneesmiddelen;2.174.604.075,51;274462

